Imdb Title Id,Title,Year of Release,Date Published,Genre,Duration(min),Country,Language,Director,Production Company,Average Vote,Votes,User Reviews,Critic Reviews
tt0000009,Miss Jerry,1894,10/9/1894,Romance,45,USA,English,Alexander Black,Alexander Black Photoplays,5.9,154,1,2
tt0000574,The Story of the Kelly Gang,1906,12/26/1906,"Biography, Crime, Drama",70,Australia,English,Charles Tait,J. and N. Tait,6.1,589,7,7
tt0001892,Den sorte drøm,1911,8/19/1911,Drama,53,"Germany, Denmark",Spanish,Urban Gad,Fotorama,5.8,188,5,2
tt0002101,Cleopatra,1912,11/13/1912,"Drama, History",100,USA,English,Charles L. Gaskill,Helen Gardner Picture Players,5.2,446,25,3
tt0002130,L'Inferno,1911,3/6/1911,"Adventure, Drama, Fantasy",68,Italy,Italian,"Francesco Bertolini, Adolfo Padovan",Milano Film,7,"2,237.00",31,14
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,3/27/1905,"Biography, Drama",60,USA,English,Sidney Olcott,Kalem Company,5.7,484,13,5
tt0002423,Madame DuBarry,1919,11/26/1919,"Biography, Drama, Romance",85,Germany,German,Ernst Lubitsch,Projektions-AG Union (PAGU),6.8,753,12,9
tt0002445,Quo Vadis?,1913,3/1/1913,"Drama, History",120,Italy,Italian,Enrico Guazzoni,Società Italiana Cines,6.2,273,7,5
tt0002452,Independenta Romaniei,1912,9/1/1912,"History, War",120,Romania,English,"Aristide Demetriade, Grigore Brezeanu",Societatea Filmului de Arta Leon Popescu,6.7,198,4,1
tt0002461,Richard III,1912,10/15/1912,Drama,55,"France, USA",English,"André Calmettes, James Keane",Le Film d'Art,5.5,225,8,1
tt0002646,Atlantis,1913,12/26/1913,Drama,121,Denmark,Danish,August Blom,Nordisk Film,6.6,331,9,9
tt0002844,Fantômas - À l'ombre de la guillotine,1913,5/12/1913,"Crime, Drama",54,France,French,Louis Feuillade,Société des Etablissements L. Gaumont,7,"1,944.00",9,28
tt0003014,Il calvario di una madre,1913,10/18/1915,Drama,96,Sweden,English,Victor Sjöström,Svenska Biografteatern AB,7.1,948,16,7
tt0003037,Juve contre Fantômas,1913,9/8/1913,"Crime, Drama",61,France,French,Louis Feuillade,Société des Etablissements L. Gaumont,7,"1,349.00",8,23
tt0003102,Ma l'amor mio non muore...,1914,1/1/1914,Drama,90,Italy,Italian,Mario Caserini,Film Artistica Gloria,6.2,,3,4
tt0003131,Maudite soit la guerre,1914,5/1/1914,"Drama, War",50,Belgium,French,Alfred Machin,Belge Cinéma Film,6.5,124,2,2
tt0003165,Le mort qui tue,1913,11/6/1913,"Crime, Drama, Mystery",90,France,French,Louis Feuillade,Société des Etablissements L. Gaumont,7,"1,050.00",6,18
tt0003167,Amore di madre,1914,5/17/1914,Drama,55,USA,English,D.W. Griffith,Majestic Motion Picture Company,5.8,187,6,3
tt0003419,Lo studente di Praga,1913,8/22/1913,"Drama, Fantasy, Horror",85,Germany,German,"Paul Wegener, Stellan Rye",Deutsche Bioscop GmbH,6.5,"1,768.00",20,26
tt0003471,Traffic in Souls,1913,11/24/1913,"Crime, Drama",88,USA,English,George Loane Tucker,Independent Moving Pictures Co. of America (IMP),6,552,14,11
tt0003489,Gli ultimi giorni di Pompei,1913,8/24/1913,"Adventure, Drama",88,Italy,Italian,"Mario Caserini, Eleuterio Rodolfi",Società Anonima Ambrosio,6.2,474,13,7
tt0003637,Assunta Spina,1915,5/1/1916,Drama,72,Italy,Spanish,"Francesca Bertini, Gustavo Serena",Caesar Film,6.4,378,7,2
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,8/24/1914,"Crime, Drama, Horror",78,USA,English,D.W. Griffith,Majestic Motion Picture Company,6.4,"1,105.00",14,11
tt0003657,The Bargain,1914,12/3/1914,Western,70,USA,English,Reginald Barker,New York Motion Picture,6.5,144,8,3
tt0003740,Cabiria,1914,4/18/1914,"Adventure, Drama, History",148,Italy,Italian,Giovanni Pastrone,Itala Film,7.1,"3,073.00",31,26
tt0003772,Cinderella,1914,12/28/1914,"Fantasy, Drama",52,USA,English,James Kirkwood,Famous Players Film Company,6,929,10,3
tt0003883,L'enfant de Paris,1913,9/17/1913,"Crime, Drama",124,France,French,Léonce Perret,Société des Etablissements L. Gaumont,7.5,303,7,4
tt0003930,Fantômas contre Fantômas,1914,1/10/1914,"Crime, Drama",59,France,French,Louis Feuillade,Société des Etablissements L. Gaumont,6.9,"1,161.00",5,18
tt0003973,A Florida Enchantment,1914,9/4/1916,Comedy,63,USA,English,Sidney Drew,Vitagraph Company of America,5.8,202,6,3
tt0004026,Der Golem,1915,4/8/1915,Horror,60,Germany,German,"Henrik Galeen, Paul Wegener",Deutsche Bioscop GmbH,6.8,"1,040.00",5,
tt0004066,Det hemmelighedsfulde X,1914,3/23/1914,"Drama, Mystery",84,Denmark,Danish,Benjamin Christensen,Dansk Biograf Compagni,7,503,7,4
tt0004099,"His Majesty, the Scarecrow of Oz",1914,10/14/1914,"Family, Fantasy, Adventure",59,USA,English,J. Farrell MacDonald,The Oz Film Manufacturing Company,5.2,415,,7
tt0004134,Hypocrites,1915,1/20/1915,Drama,54,USA,English,Lois Weber,Hobart Bosworth Productions,6.6,456,41,9
tt0004150,In the Land of the Head Hunters,1914,12/7/1914,"Drama, History",65,"USA, Canada",English,Edward S. Curtis,Seattle Film Co.,5.8,402,8,11
tt0004181,Judith of Bethulia,1914,3/8/1914,Drama,61,USA,English,D.W. Griffith,Biograph Company,6.1,"1,239.00",16,9
tt0004457,The Patchwork Girl of Oz,1914,9/28/1914,"Adventure, Family, Fantasy",81,USA,English,J. Farrell MacDonald,The Oz Film Manufacturing Company,5.5,382,16,5
tt0004465,The Perils of Pauline,1914,3/23/1914,"Action, Adventure, Drama",199,USA,English,"Louis J. Gasnier, Donald MacKenzie",Pathé Frères,6.3,939,5,8
tt0004635,The Squaw Man,1914,2/15/1914,"Action, Drama, Romance",74,USA,English,"Oscar Apfel, Cecil B. DeMille",Jesse L. Lasky Feature Play Company,5.7,879,8,3
tt0004681,La madonnina del porto,1914,3/30/1914,Drama,80,USA,English,Edwin S. Porter,Famous Players Film Company,6.1,178,5,3
tt0004707,Tillie's Punctured Romance,1914,12/21/1914,Comedy,82,USA,English,"Mack Sennett, Charles Bennett",Keystone Film Company,6.3,"3,250.00",38,18
tt0004712,A tolonc,1915,3/20/1915,Drama,67,Hungary,Hungarian,Michael Curtiz,ProJa Filmgyár,6.3,165,1,9
tt0004743,Uncle Tom's Cabin,1914,8/10/1914,Drama,54,USA,English,William Robert Daly,World Film,5.3,112,4,
tt0004766,The Virginian,1914,9/7/1914,Western,55,USA,English,Cecil B. DeMille,Jesse L. Lasky Feature Play Company,5.6,174,12,
tt0004825,The Wishing Ring: An Idyll of Old England,1914,11/9/1914,"Comedy, Drama",54,USA,English,Maurice Tourneur,Shubert Film Corporation,6.4,,6,2
tt0004838,The Wrath of the Gods,1914,6/8/1914,"Drama, Romance",56,USA,English,Reginald Barker,New York Motion Picture,5.7,138,5,2
tt0004872,Alias Jimmy Valentine,1915,2/22/1915,"Crime, Drama",65,USA,English,Maurice Tourneur,Peerless Productions,6.6,206,4,3
tt0004873,Alice in Wonderland,1915,1/19/1915,"Adventure, Family, Fantasy",52,USA,English,W.W. Young,Nonpareil Feature Film Corp.,6.2,394,11,8
tt0004972,Nascita di una nazione,1915,3/21/1915,"Drama, History, War",195,USA,English,D.W. Griffith,David W. Griffith Corp.,6.3,"22,213.00",368,97
tt0005060,Carmen,1915,10/31/1915,Drama,59,USA,English,Cecil B. DeMille,Jesse L. Lasky Feature Play Company,6.4,894,20,8
tt0005078,The Cheat,1915,12/13/1915,"Drama, Romance",59,USA,English,Cecil B. DeMille,Jesse L. Lasky Feature Play Company,6.6,"2,305.00",38,19
tt0005149,The Coward,1915,11/14/1915,"Drama, History, War",77,USA,English,"Reginald Barker, Thomas H. Ince",Kay-Bee Pictures,6,244,15,3
tt0005339,La vampira,1915,1/12/1915,Drama,67,USA,English,Frank Powell,Fox Film Corporation,5.8,783,20,14
tt0005402,The Golden Chance,1915,12/30/1915,Drama,74,USA,English,Cecil B. DeMille,Jesse L. Lasky Feature Play Company,6.4,187,10,1
tt0005529,Hævnens Nat,1916,9/25/1916,"Crime, Drama, Horror",100,Denmark,English,Benjamin Christensen,Dansk Biograf Compagni,6.8,268,7,2
tt0005557,The Italian,1915,1/1/1915,Drama,72,USA,English,Reginald Barker,New York Motion Picture,6.6,293,13,3
tt0005680,Maciste,1915,3/29/1905,Adventure,67,Italy,Italian,"Luigi Romano Borgnetto, Vincenzo Denizot",Itala Film,5.9,130,3,5
